"created_at","url","full_text","user_id_str"
"Thu Mar 31 23:59:34 +0000 2022","https://twitter.com/sarika_iran/status/1509681840705187844","@raeisi_org  اون رییس سازمان استاندارد و کارشنلس ها یش را باید بطور معکوس ، از طناب دار آویزان کرد.نه صرفا بخاطر ایربگ بلکه این بدنه سمند چگونه ساخته شده که سقف قالبی کنده شده","1656165014"
"Thu Mar 31 23:59:33 +0000 2022","https://twitter.com/ChifocusDe/status/1509681840394702874","@XaviSol_ España Iran y Camerún","2336870934"
"Thu Mar 31 23:59:22 +0000 2022","https://twitter.com/BaronCutler/status/1509681792139382792","@MenInBlazers Saudi Arabia, Qatar, and Iran so we can finally boost ratings in red states.","1334575086074998784"
"Thu Mar 31 23:59:09 +0000 2022","https://twitter.com/tajer_amir/status/1509681737307107328","@Molson_Hart @steve_hanke Oh there’s also this oil/gas reserve that KSA, UAE, and Iran mutually own and recently KSA and UAE started drilling without having Iran involved and now Iran is like fuck you you drill and I bomb (this last sentence is my simplistic interpretation! Lol)","762322044272807936"
"Thu Mar 31 23:59:07 +0000 2022","https://twitter.com/GettyMuseum/status/1509681728918491165","Family Festival: Persia

Experience the sights and sounds of ancient Iran through music, dance, storytelling, hands-on workshops, and interactive events.

April 9 and 10, from 10am to 5pm at the Getty Villa.

RSVP:
https://t.co/BWOwwZ9F8j","16568227"
"Thu Mar 31 23:59:06 +0000 2022","https://twitter.com/crisgabriel99/status/1509681723273011206","@_albertista_ Estados Unidos,Polonia, Irán","1038976016419639297"
"Thu Mar 31 23:59:05 +0000 2022","https://twitter.com/vitiink/status/1509681722165800965","Iran Brumadinho kkkkkkk, esse cara eh um comédia 🤣","1373032706762805248"
"Thu Mar 31 23:58:57 +0000 2022","https://twitter.com/Royfcb_/status/1509681689064312843","@dembelismo99_ Obvio, en un mundial miras emocionado hasta un Marruecos - Irán","1097209356532232192"
"Thu Mar 31 23:58:54 +0000 2022","https://twitter.com/BoscoDorgo/status/1509681676741451777","@constanzaurora7 Oh! Esto si la cagó, jamás me espero verlo en Chile. Esto se entiende en Irán o en otros paises. Acá hay gente que está desquitándose de sus problemas personales con el resto. No merece Chile involucionar.","1485792202605400066"
"Thu Mar 31 23:58:51 +0000 2022","https://twitter.com/Masood60257658/status/1509681662153560088","@RepJerryNadler Iran 🚀Israel😟👎 https://t.co/0xUEzySBXm","1338172779498188806"
"Thu Mar 31 23:58:25 +0000 2022","https://twitter.com/behruz_iran/status/1509681551268880391","@StockpickB @SeanTrodden @DDyouknowme","1069629220844961792"
"Thu Mar 31 23:58:15 +0000 2022","https://twitter.com/rmchavin/status/1509681509640278026","12-22-2021:  Tocilizumab biosimilars: BAT1806 is made by Bio-Thera Solutions in China then imported and sold by Biogen in Massachusetts. Temziva is made by AryoGen Pharmed of Iran and SRS Life Sciences of Singapore then imported and sold by Biocare Lifesciences in the Philippines","3268963694"
"Thu Mar 31 23:57:56 +0000 2022","https://twitter.com/juanclpucheta/status/1509681433752735764","@LaMeraFiera @PikAndBet España, México, Iran y Camerun","92075442"
"Thu Mar 31 23:57:14 +0000 2022","https://twitter.com/Des_Iran/status/1509681255582896135","But that Ray J “ Wait a Minute” beat was touuugghhhhhh","44261045"
"Thu Mar 31 23:57:13 +0000 2022","https://twitter.com/nahuxo/status/1509681250344210436","argentina
holanda
irán
camerun","1400980501"
"Thu Mar 31 23:56:59 +0000 2022","https://twitter.com/PromotordelDemo/status/1509681190835560454","En este último punto, tienen algunas posibilidades de huir, pero irán a cobrar lo suyo, no olvidemos que fueron capaces de hasta asesinar un agente de la Contra Inteligencia Militar, que participó en el primer encuentro con lo rusos.","548848257"
"Thu Mar 31 23:56:41 +0000 2022","https://twitter.com/CarlosM28140597/status/1509681119167451139","@cracks_oficial Perú,irán,Dinamarca y España 🙂🙂","1319049396772888578"
"Thu Mar 31 23:56:37 +0000 2022","https://twitter.com/Des_Iran/status/1509681102058713088","That’s tough","44261045"
"Thu Mar 31 23:56:27 +0000 2022","https://twitter.com/Des_Iran/status/1509681059918614536","Too many to name but “Come Close” / “ Excuse me Miss” 2 of my favorites","44261045"
"Thu Mar 31 23:56:09 +0000 2022","https://twitter.com/Dr_Noon_Boon/status/1509680981749510148","A huge blast took place before fire broke out at the Petrochemical Special Economic Zone in Iran's southwestern city of Mahshahr on late Thursday/early Friday, the semi-official Mehr news agency is reporting. No further details as of yet. https://t.co/emhGhaVlQU","1487721739853484034"
"Thu Mar 31 23:56:00 +0000 2022","https://twitter.com/CleveJN/status/1509680945162506246","77.5 percent of American voters believe the Biden administration should not allow Russia to negotiate on America’s behalf in the Iran nuclear talks, while 2.3% of American voters believe the Biden administration should allow Russia to do so. https://t.co/XgKvxCA54X","34923953"
"Thu Mar 31 23:56:00 +0000 2022","https://twitter.com/DaveCharneski/status/1509680943375818764","@NotoriousB1D @lcbuck34 @22jshu @WoodsFootball Peace through strength...
The world is a scary place, plenty of countries out there looking to do us harm..Russia, China, Iran, N.Korea to name a few. We live in peace because of our military.","1292297490"
