"created_at","url","full_text","user_id_str"
"Mon Jan 31 23:59:59 +0000 2022","https://twitter.com/jamteach1976/status/1488301065170833416","#Shame on the #Chinesegovt for widespread mistreatment of Muslim Uyghurs in #China, and pretend nothing is happening. #UyghurLivesMatter #NBCNightlyNews #nbcnews #UnitedNations #ChinaExposed","174513918"
"Mon Jan 31 23:59:59 +0000 2022","https://twitter.com/TheSmartRadio/status/1488301065074266115","#earthquake Magnitudo 4.6 - 41 km WNW of Jiangyou, China (1 hour 58 minutes ago)","846746092658049024"
"Mon Jan 31 23:59:58 +0000 2022","https://twitter.com/AsiaReportcom/status/1488301060460584970","@wallacemick Not to mention fishing the seas empty and destroying coral reefs in the South China Sea https://t.co/6YeqPuIL5I and depleting fish stocks beyond the horizon.","32189808"
"Mon Jan 31 23:59:51 +0000 2022","https://twitter.com/maverick6489/status/1488301031603814400","BIDEN IS TRYING TO RAMROD THROUGH HIS CANDIDATE THAT HE PROMISED TO CRONGRESSMAN CLYBURN FOR VOTES....QUID PRO QUO...OLE JOEY AT IT AGAIN, HE SO CORRUPT...CHINA/RUSSIA AND UKRAINE ALLKNOW IT. THEYA RE BLACKMAILING HIM","1458452198539599874"
"Mon Jan 31 23:59:51 +0000 2022","https://twitter.com/NECacophony/status/1488301028500029451","@FangScore @mtreyens @ConcernedCraig @DoctorSarcasm @Plognark @McarthurKomani @KarakDamnaz @arthur_affect @anonwithnumbers @StochasticStat1 @Cybren @GuilloMena @TheThembo YOU DON'T HAVE TO!

THAT'S THE POINT!

""If I have to"" is a NONSENSE SCENARIO that you made up to excuse supporting America's monstrous failure simply because it's contrarian towards China","738176040"
"Mon Jan 31 23:59:49 +0000 2022","https://twitter.com/David32375134/status/1488301022116200451","@Harold36089778 @NathanDallon @rch371 China is one big industrial planner, we aren't dealing with some capitalist nation. They can sell below cost if they need to.  It's hard to say we are playing unfair. I am well aware most of the American economy is not exposed but nonetheless I don't like the vulnerability.","1302374339556323329"
"Mon Jan 31 23:59:49 +0000 2022","https://twitter.com/tantockong/status/1488301021788983297","@armandartaud @morganastra Wrong, its 770b ""defense"" spending for the land of the free, 250b for china, and usa is more than the next 10 countries combined, just in case the numbers are hard for u to add.

https://t.co/lA91MAAhom","874129045964734464"
"Mon Jan 31 23:59:47 +0000 2022","https://twitter.com/Newsquawk/status/1488301014717546502","Happy Chinese New Year and a prosperous year of the Tiger for all. 

As a reminder, financial markets in China, Hong Kong, South Korea, Taiwan, Singapore, Philippines, Malaysia and Indonesia are closed today.","42589787"
"Mon Jan 31 23:59:46 +0000 2022","https://twitter.com/jodyamato_/status/1488301010862985220","""I don't want Canada to be like #China."" 

#JustinTrudeau #FreedomConvoyCanada2022 #TruckersForFreedom2022 #OttawaConvoy","277125029"
"Mon Jan 31 23:59:43 +0000 2022","https://twitter.com/NaritaBriant/status/1488300996363452416","It is shits that do not think it is useless. 
It's like China.","1181892602779459584"
